,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
2977,0x00a536f5f6f5ca5a3db9efc0813c9f0b8776cf75,0,0,False,,0,0,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
2978,0x00a540a78fab5d2c16635574388d1128662462f1,0,0,False,,0,0,cETH,cDAI,cBAT,cZRX,,,,,,,,,,
2979,0x00a5ae2286095c8220ba7b6dde9bd25516382e61,0,0,False,,0,0.022929449134852119764183309766601996479135284,cUSDC,cBAT,,,,,,,,,,,,
2980,0x00a5af29ec2beac3b1c0e4f7bbc34fce61f2ca42,0,0,False,,0,0.0008317443767863537481211649152,cUSDC,,,,,,,,,,,,,
2981,0x00a5b80f0551361e0986465c8ca8286fc1ee9000,0,0,False,,0,0.0008312585411138610125938958208,cUSDC,,,,,,,,,,,,,
2982,0x00a5bc5982c849a19f6e2af14536323d319ed886,0,0,False,,0,0,cETH,cDAI,cBAT,cZRX,cWBTC,,,,,,,,,
2983,0x00a5e91b6eb4039961635ff73ab704c8890ab511,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
2984,0x00a5fe79b8a9105bb4a7d4fad49aa11aafed029c,0,0,False,,0,0,cDAI,cBAT,,,,,,,,,,,,
2985,0x00a61ab6858bbce04678d7062306d05c2237859c,0,0,False,,0,0.10540485758581017916188612246610501595274496,cETH,cDAI,,,,,,,,,,,,
2986,0x00a61f8e583c232a251cf73e3751f354e8fd2ede,0,0,False,,0,0.69461441491071185829940847904,cUSDC,,,,,,,,,,,,,
2987,0x00a61ff74fdeacfe84d7d443173a93aab048d3e6,0,0,False,,0,0.000828274109262621426287529984,cUSDC,,,,,,,,,,,,,
2988,0x00a625243310cd55c53961ff1e33262c7a401dd6,0,0,False,,0,0.0033848780416646993983747944533003004607312,cCOMP,,,,,,,,,,,,,
2989,0x00a6600ef0b6bb11f6e916f8d024a72d097d31c8,0,0,False,,0,0.000831152777361946482699263808,cUSDC,cCOMP,,,,,,,,,,,,
2990,0x00a6d24798910407c3401bbf3a413bc09bbd2ce5,0,0,False,,0,0.0071754972640485191377813875432,cUSDC,cETH,,,,,,,,,,,,
2991,0x00a6fce8c8dfbb1ee56ab7aaebdb2f4c8202ffcd,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
2992,0x00a73c4e596bec4c4068a9152da71e45480b5450,0,0,False,,0,0.000825024556453431437535498,cETH,,,,,,,,,,,,,
2993,0x00a746b552b71f9b4e94b69b66dfdac1e0df0551,0,0,False,,0,0.0021462033300563690730853485,cETH,,,,,,,,,,,,,
2994,0x00a765e92e4185e7610e99c5152015770246ed07,0,0,False,,0,0.0008317530595380222079522494336,cUSDC,,,,,,,,,,,,,
2995,0x00a7787797dc57a1bc5e54d2730191449e549672,0,0,False,,0,0.000828307665486603309674088576,cUSDC,,,,,,,,,,,,,
2996,0x00a7852b6113bac287e552d9df00ac792b7f9927,0,0,False,,0,0.000827902995457313306667365568,cUSDC,,,,,,,,,,,,,
2997,0x00a839de7922491683f547a67795204763ff8237,0,0,False,,0,0,cETH,cDAI,,,,,,,,,,,,
2998,0x00a8d5b01e3aa90131e295d65257c9bd3759b3a1,0,0,False,,0,0.0008311218827310928629757657728,cUSDC,,,,,,,,,,,,,
2999,0x00a97d48cf8924e02ddc29ef10f4dc7a341da492,0,0,False,,0,0.0008303957309052134925822349056,cUSDC,,,,,,,,,,,,,
