,id,date,dailyVolumeETH,dailyVolumeUSD,dailyVolumeUntracked,totalVolumeUSD,totalLiquidityUSD,mostLiquidTokens,txCount
178,18567,1604188800,402194.6004404425,156264802.69892383,198266086.85925215,0,3005262445.988328,[],15477188
179,18568,1604275200,527846.568968005,205837745.28986463,246509788.22605088,0,2886130662.929654,[],15629705
180,18569,1604361600,557823.8906366759,211277062.02641112,245219728.2807424,0,2863897332.232401,[],15773554
181,18570,1604448000,570359.3502882333,222743651.90414307,253303405.98069793,0,2936498153.757184,[],15906962
182,18571,1604534400,706141.3854101856,287866490.9147965,321202061.49530053,0,2981025160.296372,[],16045422
183,18572,1604620800,807830.3533961963,353091514.6366875,797581010.3117172,0,3087776140.1322994,[],16177667
184,18573,1604707200,902556.040738079,405550496.3281552,432993642.7907683,0,3008206770.805079,[],16306729
185,18574,1604793600,436740.65336103446,194745953.54882887,223428680.79679608,0,3102172380.3733764,[],16426569
186,18575,1604880000,540143.5967901682,241667695.8637598,277198663.5324873,0,3206689524.857964,[],16561150
187,18576,1604966400,503149.06233174814,225087481.89459237,264664439.27917367,0,3239244467.0797,[],16705509
188,18577,1605052800,503994.549369378,233224092.496546,261973802.61111617,0,3315712480.961713,[],16821924
189,18578,1605139200,489691.0118721985,224834050.11735696,252711443.04388735,0,3274636232.795256,[],16939987
190,18579,1605225600,530492.6554545681,247705509.92565632,279707426.8220038,0,3361836517.95036,[],17078666
191,18580,1605312000,865669.5480130154,395867935.43489385,422906633.24240655,0,3309699924.062937,[],17202873
192,18581,1605398400,494186.7018289725,223879415.6513684,259345309.79167488,0,3192155743.8185854,[],17345410
193,18582,1605484800,603821.5449461079,275380246.5257859,307107381.1643014,0,3035143313.1005516,[],17490242
194,18583,1605571200,841821.7534815851,392268754.8398048,435084065.0653656,0,1745831100.857048,[],17642479
195,18584,1605657600,600496.7057718234,287037735.290345,330191031.2126794,0,1634824205.7548995,[],17773121
196,18585,1605744000,534606.9823404306,253310961.83779287,288752899.0396541,0,1605114049.9315405,[],17918493
197,18586,1605830400,603994.1068361903,300224530.76985323,336826276.40414876,0,1675581471.4878397,[],18063880
198,18587,1605916800,713936.731461565,375943734.0819671,413309773.3842558,0,1693917108.2054794,[],18222057
199,18588,1606003200,809765.9681090637,442888548.03225166,2.7199135894137635e+20,0,1723471805.366473,[],18380042
200,18589,1606089600,644672.5192374501,378486996.01455486,473807613.7542504,0,1792133756.675269,[],18532719
201,18590,1606176000,700796.9489316797,425319795.5031116,543064792.4961829,0,1706004626.8269436,[],18673692
202,18591,1606262400,503848.26901733415,296133987.75208074,380479148.6491161,0,1630388650.2614577,[],18812478
203,18592,1606348800,1409892.6339636468,717162523.4608257,806629171.914924,0,1522949805.8477879,[],18938304
204,18593,1606435200,441055.314722344,226181702.05025315,316119072.2382064,0,1586039117.5575006,[],19061119
205,18594,1606521600,333956.3635705945,175112139.62678555,272939495.8738525,0,1623594892.518803,[],19179464
206,18595,1606608000,351676.7760149894,193454443.93928325,5205399489.908465,0,1678876450.3004224,[],19303942
207,18596,1606694400,528961.3484507347,313542132.95577747,438223267.63310814,0,1727558688.8183243,[],19432023
208,18597,1606780800,580168.8800529777,348384888.313922,437192749.32309985,0,1652703281.596434,[],19555304
209,18598,1606867200,437354.04181073856,258920295.00162473,335395352.84969544,0,1672462087.2284734,[],19698802
210,18599,1606953600,488477.573331164,295779902.4476984,431655604.113691,0,1717229108.355304,[],19860638
211,18600,1607040000,505272.11771711614,300303754.2715895,466239610.4599669,0,1585348675.5441208,[],20020015
212,18601,1607126400,443451.9776612136,260131036.60140568,404313376.6235626,0,1683938485.0099187,[],20172496
213,18602,1607212800,624814.0404131121,371805370.1183847,526279102.95429057,0,1685352127.294335,[],20360587
214,18603,1607299200,486059.86435347935,288029750.08779407,449401661.9038802,0,1675965648.320763,[],20549474
215,18604,1607385600,651403.5117058839,374535866.7993157,485533414.66665816,0,1584382182.9624212,[],20735908
216,18605,1607472000,621436.2724408538,346893644.0768338,556767506.5701567,0,1642402333.1750777,[],20924538
217,18606,1607558400,532401.8051094533,298647924.41819793,510216793.4013265,0,1576170863.6136055,[],21104630
218,18607,1607644800,538814.152025417,293822886.6526474,510764885.52317137,0,1555241297.6630185,[],21282026
219,18608,1607731200,406414.4994385945,226806450.68291283,911619429.5306576,0,1612951220.96607,[],21434350
220,18609,1607817600,383064.6197016017,222809588.7190329,1610967344.065254,0,1668114880.987702,[],21585510
221,18610,1607904000,409603.0341609361,239182278.81267864,531093886.36908394,0,1661506246.034258,[],21741999
222,18611,1607990400,485268.02201171586,284811413.9270177,497486788.1055839,0,1680754443.5687644,[],21900782
223,18612,1608076800,511446.26441550016,310071240.36684066,691366212.9202677,0,1737716722.8862367,[],22044169
224,18613,1608163200,2181545.218733179,997832807.6766921,1341895930.309056,0,1746867614.2998543,[],22176879
225,18614,1608249600,500023.1450274543,322593543.2269742,6443277271.655837,0,1774738475.0226169,[],22318048
226,18615,1608336000,527688.72266329,346453595.4273952,781776801.9465951,0,1787496172.7176044,[],22478661
227,18616,1608422400,517554.120655838,335305227.70099765,763029074.0393826,0,1761553851.9641871,[],22652384
228,18617,1608508800,695490.333326736,432693447.7963103,703201312.7846841,0,1776577204.3567235,[],22837696
229,18618,1608595200,638997.1891305903,392071410.6085358,19305860179185.4,0,1854127070.4366949,[],23010972
230,18619,1608681600,689089.9960630791,417761887.603655,755420649.4168445,0,1809013741.0277095,[],23155344
231,18620,1608768000,632637.0633966041,369885494.2688417,722967471.9243444,0,1920743476.1264887,[],23290806
232,18621,1608854400,565974.6360002987,348650999.6722984,3.048847394552772e+16,0,1944498863.7067647,[],23427057
233,18622,1608940800,540160.2488554299,341268056.8071331,800925260.7445688,0,1930139537.379344,[],23558492
234,18623,1609027200,741832.1891279862,492740183.424955,706514404.8277675,0,1963372935.0013747,[],23696311
235,18624,1609113600,612949.8061362925,442887937.91152257,692901755.0218656,0,2020836215.210924,[],23843394
236,18625,1609200000,764838.135751674,549896602.8931521,1917957993.2989411,0,2069862628.9469137,[],23987322
237,18626,1609286400,727128.7875374346,534413838.50783086,2022078740.2475152,0,2074880952.4386177,[],24122847
238,18627,1609372800,736182.9697646855,545177043.2946448,2037896675.990484,0,2162114168.7344184,[],24266380
239,18628,1609459200,673365.7667801653,495037034.93475133,1965027174.9719603,0,2152993561.6818657,[],24411314
240,18629,1609545600,734568.9678189111,552131361.4284785,4924758828.837817,0,2226885549.1370034,[],24553890
241,18630,1609632000,907735.0027475401,794629867.4769043,5300016541.734752,0,2552857902.0862155,[],24680740
242,18631,1609718400,997396.5239674483,1009680672.3239112,4634766692.634487,0,2745613113.618372,[],24785538
243,18632,1609804800,738804.6192346982,782551312.7384816,9165716692.850063,0,2917629853.358533,[],24904087
244,18633,1609891200,665969.8301497826,758628552.5271641,7291596816.241631,0,3125726437.915952,[],25018837
245,18634,1609977600,608835.619303652,741951482.5538579,13211958930.561224,0,3206846493.995482,[],25120678
246,18635,1610064000,687002.94828387,820815873.1591923,10966349666.31298,0,3214397727.852869,[],25225837
247,18636,1610150400,635921.2021180015,779005002.0160105,10987498797.089037,0,3306588537.685196,[],25347879
248,18637,1610236800,621449.1286769944,802902397.0368336,9467317943.434273,0,3201112229.7128344,[],25468352
249,18638,1610323200,1225692.2841018576,1298199616.6794124,7803719741.702701,0,2845519855.2980785,[],25564165
250,18639,1610409600,640437.1186306765,692443355.7199973,10718979446.142193,0,2833318880.8299446,[],25679511
251,18640,1610496000,534651.1370986779,570399311.3406938,7798561065.901111,0,3038143823.7893925,[],25794893
252,18641,1610582400,547620.5378627577,640605403.3918599,9154551973.018585,0,3196278397.063876,[],25928378
253,18642,1610668800,632877.9267078668,748939396.9632415,12810377217.670872,0,3137774830.3076286,[],26055858
254,18643,1610755200,579284.8253741604,707933139.3473321,8118228181.823295,0,3214791849.077745,[],26199415
255,18644,1610841600,545136.6346342827,667466484.5636965,8541354324.417092,0,3236378356.07198,[],26354425
256,18645,1610928000,563823.3734809231,691337609.0229001,11658326833.351427,0,3297483118.4542847,[],26520314
257,18646,1611014400,737747.2420346413,1008768657.6290166,13392791571.26326,0,3410284732.174813,[],26665482
258,18647,1611100800,580350.133430013,769832172.8477491,5119798031.608489,0,3447823722.7458677,[],26809651
259,18648,1611187200,740220.9164597102,913283712.9665464,9194909191.13492,0,2923939740.820937,[],26944541
260,18649,1611273600,728394.8299374926,858199697.9514782,8801522737.659668,0,3225425876.772384,[],27076630
261,18650,1611360000,536817.0068595218,666108814.1536456,13339729611.23488,0,3167283093.848592,[],27229249
262,18651,1611446400,580497.6633966096,767705046.376513,14283654718.386557,0,3531265629.6071105,[],27394801
263,18652,1611532800,648483.3319143231,909029690.3753088,916413013215.0579,0,3351733763.2792253,[],27552270
264,18653,1611619200,578166.2988425392,764980252.2082098,13212584432.724031,0,3435191486.2916136,[],27702452
265,18654,1611705600,618628.7405491108,788962261.9689318,12704235090.613804,0,3242548912.2354918,[],27854324
266,18655,1611792000,524181.44026956544,687787282.6498525,12155024706.392368,0,3384614844.1414256,[],28002899
267,18656,1611878400,751557.2556779924,1025187342.9364606,12252840533.105564,0,3446534371.370237,[],28139885
268,18657,1611964800,538134.1005602553,732611230.5941485,24056331155.86336,0,3484539974.8609214,[],28290059
269,18658,1612051200,547451.1323582417,731289978.4670885,3602287816.6469655,0,3367125932.1856966,[],28461980
270,18659,1612137600,616100.5229011026,816231293.6863843,30932213034.558006,0,3515864828.7308135,[],28629118
271,18660,1612224000,639938.8855765791,922666029.5178032,9414905735.294777,0,3672878011.6415343,[],28785336
272,18661,1612310400,554202.1262399098,874152304.9982054,9626010940.36024,0,3967035693.4409056,[],28945529
273,18662,1612396800,783883.1032559248,1290813273.935196,10146517300.565054,0,3863840513.878716,[],29094093
274,18663,1612483200,664367.8521211615,1117545505.2453415,5920835879.399872,0,4045901803.520426,[],29257970
